item,category,co2_per_unit,unit
BrandB Pen,Stationery,2.57,piece
HomeEssentials Mattress,Household,17.62,piece
GreenChoice Bagel,Bakery,0.36,piece
NaturePlus Marker,Stationery,0.85,piece
BrandA Tea,Beverages,1.6,bottle
BrandC Onion,Vegetables,0.59,kg
NaturePlus Juice,Beverages,2.36,liter
GreenChoice Pet Shampoo,Pet Supplies,8.86,kg
EcoLife Headphones,Electronics,181.89,piece
BrandB Pet Toy,Pet Supplies,5.04,piece
EcoLife Cheese,Dairy,9.02,kg
BrandB Potato,Vegetables,0.49,piece
GreenChoice Diesel,Transport,4.89,km
BrandA Dog Food,Pet Supplies,5.17,piece
GoodFarm Soap,Personal Care,0.29,piece
HomeEssentials Paper Pack,Stationery,1.15,piece
NaturePlus Bread,Bakery,0.52,piece
NaturePlus Tea,Beverages,2.61,liter
BrandB Diesel,Transport,0.15,liter
HomeEssentials Diesel,Transport,3.09,km
EcoLife Tomato,Vegetables,0.71,kg
DailyCare Floor Cleaner,Cleaning,1.02,kg
BrandA Stapler,Stationery,3.94,piece
BrandC Petrol,Transport,3.21,km
BrandB Pet Shampoo,Pet Supplies,4.45,piece
DailyCare Litter,Pet Supplies,4.82,kg
DailyCare Pork,Meat,26.82,kg
DailyCare Bagel,Bakery,2.25,piece
GreenChoice Turkey,Meat,11.34,kg
EcoLife Juice,Beverages,2.3,liter
EcoLife Phone,Electronics,75.85,piece
BrandA Phone,Electronics,57.26,piece
BrandC Apple,Fruits,0.82,kg
BrandA Table,Household,44.19,piece
HomeEssentials Pillow,Household,19.22,piece
GoodFarm Mango,Fruits,1.75,piece
NaturePlus Apple,Fruits,1.43,kg
BrandC Orange,Fruits,0.49,kg
HomeEssentials Shirt,Clothing,14.22,piece
GreenChoice Bicycle,Transport,2.36,liter
BrandA Tablet,Electronics,197.7,piece
GoodFarm Train Ticket,Transport,0.43,liter
BrandC Nuts,Food,2.77,kg
DailyCare Juice,Beverages,0.55,bottle
HomeEssentials Sweater,Clothing,7.55,piece
GoodFarm Laptop,Electronics,46.87,piece
BrandB Floor Cleaner,Cleaning,3.11,kg
NaturePlus Muffin,Bakery,3.35,piece
BrandB Milk,Dairy,2.43,kg
GoodFarm Jeans,Clothing,3.53,piece
BrandC Lentils,Food,3.01,piece
GoodFarm Mango,Fruits,0.52,kg
BrandA Butter,Dairy,9.49,liter
GreenChoice Soap,Personal Care,2.53,piece
HomeEssentials Lamp,Household,15.8,piece
EcoLife Train Ticket,Transport,0.49,km
DailyCare Petrol,Transport,4.17,liter
BrandB Stapler,Stationery,3.64,piece
GreenChoice Sweater,Clothing,11.16,piece
DailyCare Dish Soap,Cleaning,1.18,liter
BrandC Glass Cleaner,Cleaning,14.95,liter
DailyCare TV,Electronics,87.37,piece
GoodFarm Dish Soap,Cleaning,1.4,piece
DailyCare Pasta,Food,1.8,pack
BrandC Bus Ticket,Transport,1.52,liter
DailyCare Bus Ticket,Transport,0.81,km
BrandA Pet Toy,Pet Supplies,8.86,kg
GoodFarm Dish Soap,Cleaning,5.6,piece
GreenChoice Dog Food,Pet Supplies,6.98,piece
GreenChoice Carrot,Vegetables,1.53,piece
BrandC Milk,Dairy,7.09,kg
BrandB Pet Toy,Pet Supplies,8.34,piece
BrandA Sweater,Clothing,11.04,piece
GoodFarm Beans,Food,1.43,pack
GreenChoice Shirt,Clothing,10.86,piece
HomeEssentials Potato,Vegetables,1.51,kg
BrandC Potato,Vegetables,1.04,piece
GreenChoice Muffin,Bakery,1.72,kg
BrandA Chair,Household,0.86,piece
BrandA Table,Household,47.38,piece
EcoLife Water,Beverages,0.51,bottle
EcoLife Pet Toy,Pet Supplies,4.99,piece
GoodFarm Chair,Household,0.62,piece
BrandC Toothpaste,Personal Care,0.24,piece
DailyCare Toothpaste,Personal Care,0.38,piece
BrandB Stapler,Stationery,1.7,piece
BrandC Cream,Dairy,1.09,kg
BrandC Shampoo,Personal Care,0.45,piece
HomeEssentials Bleach,Cleaning,4.59,kg
EcoLife Tablet,Electronics,94.5,piece
BrandC Juice,Beverages,0.85,bottle
NaturePlus Soap,Personal Care,3.68,piece
HomeEssentials Coffee,Beverages,2.92,liter
GoodFarm Beans,Food,2.3,kg
BrandC Glass Cleaner,Cleaning,1.67,liter
BrandC Dish Soap,Cleaning,7.33,liter
GoodFarm Floor Cleaner,Cleaning,5.68,piece
GreenChoice Pasta,Food,4.65,pack
NaturePlus Lamp,Household,7.83,piece
GoodFarm Dog Food,Pet Supplies,8.37,kg
BrandC Rice,Food,1.33,kg
DailyCare Cheese,Dairy,7.35,kg
NaturePlus Bleach,Cleaning,3.66,liter
NaturePlus Bagel,Bakery,2.76,piece
NaturePlus Muffin,Bakery,3.33,piece
DailyCare Carrot,Vegetables,0.22,piece
NaturePlus Tea,Beverages,1.72,bottle
BrandA Croissant,Bakery,0.4,piece
BrandB Floor Cleaner,Cleaning,2.12,piece
BrandB Bleach,Cleaning,5.45,kg
EcoLife Lentils,Food,3.23,kg
BrandB Lotion,Personal Care,2.07,piece
BrandA Shampoo,Personal Care,3.44,piece
DailyCare Marker,Stationery,3.82,piece
HomeEssentials Lamp,Household,26.79,piece
GreenChoice Headphones,Electronics,55.02,piece
GoodFarm Orange,Fruits,1.07,piece
BrandC Coke,Beverages,2.75,liter
HomeEssentials Shirt,Clothing,5.12,piece
NaturePlus TV,Electronics,47.03,piece
BrandA Carrot,Vegetables,0.44,kg
GoodFarm Tomato,Vegetables,0.15,piece
DailyCare Potato,Vegetables,1.42,kg
BrandA Marker,Stationery,4.0,piece
BrandC Banana,Fruits,0.94,piece
BrandC Marker,Stationery,3.95,piece
EcoLife Mango,Fruits,0.46,kg
DailyCare Coke,Beverages,1.52,bottle
BrandB Phone,Electronics,191.08,piece
HomeEssentials Train Ticket,Transport,4.46,liter
BrandC Notebook,Stationery,2.28,piece
GoodFarm Milk,Dairy,3.81,kg
GreenChoice Bread,Bakery,1.65,piece
DailyCare Rice,Food,3.19,kg
BrandA Beans,Food,2.35,piece
GoodFarm Beef,Meat,26.14,kg
BrandB Jacket,Clothing,17.2,piece
BrandC Jeans,Clothing,18.98,piece
HomeEssentials Mattress,Household,4.53,piece
DailyCare Butter,Dairy,9.87,liter
BrandC Lentils,Food,2.71,piece
BrandA Pen,Stationery,0.53,piece
BrandC Laptop,Electronics,182.1,piece
BrandB Shampoo,Personal Care,4.6,piece
BrandA Bread,Bakery,2.48,piece
DailyCare Milk,Dairy,4.87,kg
BrandA Carrot,Vegetables,1.26,piece
EcoLife T-shirt,Clothing,5.61,piece
BrandA Headphones,Electronics,18.46,piece
NaturePlus Deodorant,Personal Care,2.4,piece
BrandA Pillow,Household,13.55,piece
EcoLife Muffin,Bakery,0.79,piece
BrandA Cake,Bakery,1.42,kg
BrandA T-shirt,Clothing,8.28,piece
GoodFarm Lotion,Personal Care,4.42,piece
BrandA Train Ticket,Transport,4.12,km
BrandB Potato,Vegetables,1.2,piece
GoodFarm Beans,Food,2.61,kg
GreenChoice Orange,Fruits,1.33,piece
HomeEssentials Bagel,Bakery,0.36,kg
GreenChoice Jacket,Clothing,16.78,piece
GoodFarm Coke,Beverages,2.9,bottle
DailyCare Jacket,Clothing,12.18,piece
GreenChoice Apple,Fruits,0.21,kg
GoodFarm Lentils,Food,2.81,kg
BrandA TV,Electronics,190.03,piece
DailyCare Onion,Vegetables,1.43,piece
DailyCare Shirt,Clothing,7.9,piece
EcoLife Petrol,Transport,2.7,liter
HomeEssentials Juice,Beverages,2.1,liter
HomeEssentials Deodorant,Personal Care,2.12,piece
BrandB Tea,Beverages,0.85,liter
DailyCare Beef,Meat,13.39,kg
HomeEssentials Lamp,Household,18.13,piece
EcoLife Milk,Dairy,9.32,kg
HomeEssentials T-shirt,Clothing,15.43,piece
BrandB Jacket,Clothing,17.68,piece
GreenChoice Cat Food,Pet Supplies,1.67,kg
BrandB Water,Beverages,2.75,bottle
GoodFarm Phone,Electronics,75.24,piece
BrandB Juice,Beverages,2.14,bottle
EcoLife Onion,Vegetables,1.87,kg
GoodFarm Water,Beverages,2.59,liter
DailyCare Marker,Stationery,1.72,piece
EcoLife Pet Shampoo,Pet Supplies,8.24,piece
BrandA Laptop,Electronics,149.73,piece
BrandC Beans,Food,0.57,piece
EcoLife Paper Pack,Stationery,0.43,piece
EcoLife Dish Soap,Cleaning,14.32,kg
GoodFarm Rice,Food,4.42,pack
BrandC Cat Food,Pet Supplies,3.14,piece
GreenChoice Spinach,Vegetables,1.82,piece
NaturePlus Lentils,Food,4.02,piece
DailyCare Lamp,Household,16.43,piece
EcoLife Notebook,Stationery,1.85,piece
GoodFarm Oats,Food,1.59,piece
GoodFarm Carrot,Vegetables,0.3,kg
BrandC Pet Toy,Pet Supplies,3.07,piece
NaturePlus Chair,Household,31.89,piece
HomeEssentials Marker,Stationery,0.52,piece
BrandA Pen,Stationery,4.52,piece
DailyCare Litter,Pet Supplies,8.18,kg
GreenChoice Headphones,Electronics,133.59,piece
GreenChoice Cream,Dairy,5.37,kg
HomeEssentials Toothpaste,Personal Care,1.35,piece
BrandC Shirt,Clothing,19.16,piece
BrandA Litter,Pet Supplies,0.62,piece
GoodFarm Turkey,Meat,16.82,kg
GoodFarm Turkey,Meat,22.73,kg
BrandA Chair,Household,32.72,piece
BrandB Juice,Beverages,2.77,bottle
BrandB Rice,Food,3.18,kg
GreenChoice Tablet,Electronics,177.19,piece
HomeEssentials Table,Household,28.76,piece
BrandB Marker,Stationery,2.44,piece
GreenChoice Deodorant,Personal Care,1.35,piece
BrandC Potato,Vegetables,0.73,piece
DailyCare Muffin,Bakery,1.37,kg
GoodFarm Mattress,Household,14.36,piece
GreenChoice Onion,Vegetables,1.87,kg
BrandC Bagel,Bakery,1.53,piece
BrandB Sweater,Clothing,17.12,piece
GreenChoice Table,Household,17.24,piece
EcoLife Coke,Beverages,2.71,liter
BrandC Bagel,Bakery,3.76,piece
HomeEssentials Detergent,Cleaning,2.57,liter
BrandB Tea,Beverages,1.35,bottle
HomeEssentials Deodorant,Personal Care,0.5,piece
BrandC Coke,Beverages,2.29,liter
GoodFarm Carrot,Vegetables,0.27,piece
GoodFarm Shirt,Clothing,19.64,piece
NaturePlus Phone,Electronics,85.13,piece
EcoLife Lentils,Food,4.38,kg
GoodFarm Butter,Dairy,0.75,kg
BrandA Tablet,Electronics,31.54,piece
BrandB Toothpaste,Personal Care,3.07,piece
BrandB Shampoo,Personal Care,4.21,piece
EcoLife Croissant,Bakery,0.68,piece
GoodFarm Detergent,Cleaning,9.49,kg
GreenChoice Muffin,Bakery,1.49,piece
BrandA Sweater,Clothing,12.41,piece
BrandC Litter,Pet Supplies,0.38,piece
BrandB Sweater,Clothing,19.16,piece
DailyCare TV,Electronics,92.17,piece
GoodFarm Bagel,Bakery,4.86,kg
EcoLife Phone,Electronics,145.92,piece
BrandB Cheese,Dairy,8.15,kg
BrandA Train Ticket,Transport,2.1,liter
HomeEssentials Soap,Personal Care,0.46,piece
BrandA Mattress,Household,38.35,piece
BrandB Beef,Meat,7.47,kg
GoodFarm Onion,Vegetables,1.16,kg
HomeEssentials Bus Ticket,Transport,2.63,liter
BrandA Laptop,Electronics,58.46,piece
BrandC Cake,Bakery,0.97,piece
GoodFarm Pen,Stationery,1.45,piece
BrandB Potato,Vegetables,1.59,kg
EcoLife Cat Food,Pet Supplies,0.52,piece
DailyCare Tea,Beverages,0.99,bottle
EcoLife Mattress,Household,5.29,piece
BrandB Shirt,Clothing,15.11,piece
BrandA Banana,Fruits,0.37,piece
BrandC Lotion,Personal Care,4.25,piece
BrandC Onion,Vegetables,0.96,kg
BrandB Butter,Dairy,1.85,kg
GreenChoice Train Ticket,Transport,2.28,liter
HomeEssentials Chair,Household,1.14,piece
BrandC Mango,Fruits,1.81,piece
BrandA Dog Food,Pet Supplies,9.6,piece
GreenChoice Water,Beverages,2.66,bottle
HomeEssentials Train Ticket,Transport,4.96,km
BrandB Butter,Dairy,4.34,liter
HomeEssentials Pet Toy,Pet Supplies,4.99,kg
BrandC Phone,Electronics,81.2,piece
HomeEssentials Lamp,Household,40.36,piece
BrandA Butter,Dairy,6.39,kg
EcoLife Spinach,Vegetables,1.49,kg
BrandB Bleach,Cleaning,12.92,piece
BrandB Lotion,Personal Care,0.15,piece
GreenChoice Butter,Dairy,8.97,liter
HomeEssentials Tomato,Vegetables,1.13,kg
BrandB Lotion,Personal Care,1.13,piece
DailyCare Mango,Fruits,1.63,piece
BrandA Glass Cleaner,Cleaning,0.73,kg
HomeEssentials Potato,Vegetables,1.21,kg
BrandB Apple,Fruits,0.48,kg
BrandB Jeans,Clothing,17.87,piece
EcoLife Chair,Household,2.99,piece
GoodFarm Notebook,Stationery,2.72,piece
HomeEssentials Rice,Food,4.18,piece
DailyCare Chair,Household,20.78,piece
HomeEssentials Juice,Beverages,1.05,bottle
BrandC Croissant,Bakery,0.45,kg
NaturePlus Bread,Bakery,4.58,kg
GreenChoice Glass Cleaner,Cleaning,4.85,liter
DailyCare Stapler,Stationery,3.95,piece
HomeEssentials Pet Shampoo,Pet Supplies,5.35,kg
NaturePlus Cream,Dairy,9.89,kg
BrandA Shirt,Clothing,7.65,piece
BrandC Lamb,Meat,14.78,kg
GoodFarm Coke,Beverages,2.54,bottle
BrandB Lotion,Personal Care,4.27,piece
DailyCare Toothpaste,Personal Care,1.12,piece
BrandB Toothpaste,Personal Care,2.89,piece
BrandB Cheese,Dairy,1.31,liter
NaturePlus Marker,Stationery,0.22,piece
BrandB Sweater,Clothing,10.34,piece
NaturePlus Water,Beverages,0.25,liter
GoodFarm Lamb,Meat,11.62,kg
NaturePlus Milk,Dairy,3.54,kg
BrandC Soap,Personal Care,4.81,piece
NaturePlus Jeans,Clothing,17.34,piece
BrandA Water,Beverages,2.16,bottle
NaturePlus Paper Pack,Stationery,3.07,piece
DailyCare Nuts,Food,0.11,kg
EcoLife Phone,Electronics,78.41,piece
EcoLife Onion,Vegetables,1.98,kg
NaturePlus Nuts,Food,4.01,piece
NaturePlus Nuts,Food,2.46,piece
BrandB Apple,Fruits,0.7,piece
EcoLife Bread,Bakery,4.42,piece
BrandB Pillow,Household,38.25,piece
BrandA Croissant,Bakery,2.4,kg
HomeEssentials Laptop,Electronics,82.88,piece
BrandC Tomato,Vegetables,1.35,kg
NaturePlus Tomato,Vegetables,1.75,kg
NaturePlus Dog Food,Pet Supplies,6.86,piece
GoodFarm Litter,Pet Supplies,3.03,piece
NaturePlus Lamp,Household,18.29,piece
BrandB Lentils,Food,1.85,piece
HomeEssentials Dish Soap,Cleaning,13.51,liter
NaturePlus Potato,Vegetables,0.08,piece
GreenChoice Cheese,Dairy,5.56,liter
HomeEssentials Mattress,Household,37.04,piece
HomeEssentials Phone,Electronics,192.83,piece
BrandC Shirt,Clothing,2.5,piece
EcoLife Notebook,Stationery,2.95,piece
GreenChoice Petrol,Transport,3.9,km
BrandB Phone,Electronics,96.17,piece
EcoLife Dish Soap,Cleaning,10.17,liter
HomeEssentials Nuts,Food,4.58,kg
HomeEssentials Beans,Food,4.17,kg
EcoLife Train Ticket,Transport,2.35,liter
EcoLife Potato,Vegetables,1.56,kg
HomeEssentials Laptop,Electronics,123.84,piece
DailyCare Potato,Vegetables,0.38,kg
GreenChoice Detergent,Cleaning,10.42,piece
BrandC Table,Household,35.69,piece
HomeEssentials Lamp,Household,16.31,piece
HomeEssentials Paper Pack,Stationery,2.18,piece
BrandB Butter,Dairy,5.72,kg
BrandA Muffin,Bakery,2.02,kg
GreenChoice Shampoo,Personal Care,4.33,piece
GoodFarm Cat Food,Pet Supplies,5.04,piece
GoodFarm Juice,Beverages,1.58,liter
HomeEssentials Chicken,Meat,12.14,kg
NaturePlus Floor Cleaner,Cleaning,9.18,piece
DailyCare Petrol,Transport,1.94,km
EcoLife Pen,Stationery,3.59,piece
GreenChoice Chicken,Meat,20.42,kg
HomeEssentials Milk,Dairy,3.88,liter
BrandC Shirt,Clothing,9.74,piece
DailyCare Lentils,Food,4.16,kg
BrandA Paper Pack,Stationery,1.38,piece
GreenChoice Table,Household,20.55,piece
EcoLife Dog Food,Pet Supplies,8.49,kg
GreenChoice Pet Toy,Pet Supplies,3.48,piece
BrandA Grapes,Fruits,1.21,kg
GreenChoice Bagel,Bakery,2.83,piece
DailyCare Laptop,Electronics,24.15,piece
GreenChoice Dog Food,Pet Supplies,8.13,kg
BrandA T-shirt,Clothing,12.88,piece
GreenChoice Table,Household,27.38,piece
DailyCare Jacket,Clothing,12.92,piece
BrandB Bus Ticket,Transport,3.96,km
HomeEssentials Coffee,Beverages,0.64,liter
BrandB TV,Electronics,40.89,piece
EcoLife Marker,Stationery,3.08,piece
NaturePlus TV,Electronics,77.25,piece
DailyCare Orange,Fruits,1.21,piece
GoodFarm Lamp,Household,24.48,piece
BrandA Carrot,Vegetables,0.09,kg
BrandA Train Ticket,Transport,0.55,km
DailyCare Beans,Food,2.61,pack
DailyCare Butter,Dairy,6.48,liter
GreenChoice Oats,Food,4.98,kg
BrandA Toothpaste,Personal Care,2.94,piece
NaturePlus Banana,Fruits,0.37,piece
NaturePlus Tomato,Vegetables,1.62,piece
HomeEssentials Juice,Beverages,2.01,liter
BrandB Dish Soap,Cleaning,10.28,kg
NaturePlus Shampoo,Personal Care,0.58,piece
HomeEssentials Turkey,Meat,18.57,kg
DailyCare Potato,Vegetables,1.46,piece
BrandC Pet Shampoo,Pet Supplies,5.3,piece
BrandB Litter,Pet Supplies,6.29,kg
BrandB Water,Beverages,2.04,liter
EcoLife Banana,Fruits,1.11,piece
EcoLife Bagel,Bakery,1.05,kg
GoodFarm Cheese,Dairy,0.82,liter
BrandA Bleach,Cleaning,11.22,piece
DailyCare Diesel,Transport,2.02,liter
BrandC Butter,Dairy,7.78,liter
GreenChoice Butter,Dairy,0.69,kg
NaturePlus Paper Pack,Stationery,1.73,piece
DailyCare Lamp,Household,34.16,piece
GoodFarm Phone,Electronics,80.86,piece
GoodFarm Bleach,Cleaning,11.14,liter
BrandB Lentils,Food,4.22,piece
NaturePlus TV,Electronics,170.97,piece
NaturePlus Soap,Personal Care,2.02,piece
HomeEssentials Marker,Stationery,1.79,piece
NaturePlus Cake,Bakery,2.8,piece
BrandC Lamb,Meat,16.44,kg
BrandC Bicycle,Transport,1.78,km
BrandB Phone,Electronics,50.3,piece
HomeEssentials Bagel,Bakery,2.19,kg
BrandB Tomato,Vegetables,1.4,piece
EcoLife Cake,Bakery,4.64,kg
DailyCare Butter,Dairy,3.57,liter
BrandB Chair,Household,16.35,piece
HomeEssentials Paper Pack,Stationery,4.57,piece
NaturePlus Milk,Dairy,5.25,kg
BrandC Notebook,Stationery,4.64,piece
BrandA Diesel,Transport,0.76,km
DailyCare Carrot,Vegetables,0.07,piece
GoodFarm Rice,Food,0.24,kg
BrandA Muffin,Bakery,2.62,piece
EcoLife Shampoo,Personal Care,3.84,piece
DailyCare Glass Cleaner,Cleaning,8.53,kg
GoodFarm Pet Shampoo,Pet Supplies,5.89,kg
GreenChoice Carrot,Vegetables,0.06,kg
EcoLife Toothpaste,Personal Care,2.95,piece
DailyCare Chicken,Meat,20.37,kg
BrandA Beef,Meat,22.38,kg
NaturePlus Nuts,Food,1.98,kg
GoodFarm Glass Cleaner,Cleaning,14.55,liter
NaturePlus Shampoo,Personal Care,0.28,piece
BrandB Pen,Stationery,1.74,piece
DailyCare Apple,Fruits,1.85,piece
EcoLife Oats,Food,1.64,pack
GreenChoice Bread,Bakery,4.96,kg
BrandB Nuts,Food,2.93,piece
GoodFarm Cream,Dairy,5.67,liter
BrandB Spinach,Vegetables,0.52,kg
EcoLife Grapes,Fruits,0.54,kg
EcoLife Train Ticket,Transport,3.25,liter
GoodFarm Bagel,Bakery,4.62,piece
HomeEssentials Lamp,Household,18.63,piece
GreenChoice Diesel,Transport,2.25,liter
GreenChoice Diesel,Transport,2.93,km
GoodFarm Bagel,Bakery,3.76,kg
NaturePlus Shirt,Clothing,2.21,piece
HomeEssentials Bicycle,Transport,4.14,km
DailyCare Beans,Food,3.31,piece
DailyCare Banana,Fruits,1.73,piece
BrandC Pasta,Food,0.4,kg
DailyCare Jeans,Clothing,19.94,piece
GreenChoice Chicken,Meat,20.95,kg
GreenChoice Onion,Vegetables,0.78,kg
HomeEssentials Bus Ticket,Transport,4.53,liter
EcoLife Coffee,Beverages,2.36,liter
BrandB Potato,Vegetables,0.95,piece
GreenChoice Marker,Stationery,1.93,piece
BrandA Pet Shampoo,Pet Supplies,4.21,kg
BrandA Pen,Stationery,4.09,piece
GreenChoice Orange,Fruits,1.2,kg
GreenChoice Laptop,Electronics,163.65,piece
BrandC Train Ticket,Transport,3.96,km
GoodFarm Grapes,Fruits,1.81,piece
NaturePlus Pet Shampoo,Pet Supplies,3.45,kg
EcoLife Pet Toy,Pet Supplies,8.64,piece
BrandB Banana,Fruits,1.39,kg
NaturePlus TV,Electronics,80.08,piece
BrandA Table,Household,18.85,piece
DailyCare Chair,Household,25.92,piece
HomeEssentials Detergent,Cleaning,1.17,liter
BrandA Coffee,Beverages,1.34,liter
EcoLife Pen,Stationery,0.73,piece
EcoLife Water,Beverages,2.11,bottle
BrandB Tea,Beverages,2.68,liter
HomeEssentials Mango,Fruits,0.99,kg
HomeEssentials Pillow,Household,13.6,piece
EcoLife Detergent,Cleaning,6.26,kg
GreenChoice Banana,Fruits,0.39,piece
BrandB Headphones,Electronics,51.69,piece
BrandB Cat Food,Pet Supplies,9.38,kg
DailyCare Apple,Fruits,0.27,piece
HomeEssentials Headphones,Electronics,13.64,piece
BrandA Coke,Beverages,0.8,bottle
BrandC Shirt,Clothing,5.84,piece
DailyCare Cake,Bakery,4.09,kg
BrandB Carrot,Vegetables,0.89,piece
GoodFarm Croissant,Bakery,0.72,kg
BrandA Cheese,Dairy,9.38,liter
BrandA Dog Food,Pet Supplies,9.26,piece
BrandA Lentils,Food,4.78,kg
NaturePlus Glass Cleaner,Cleaning,2.04,liter
BrandA Pet Shampoo,Pet Supplies,5.55,kg
NaturePlus Rice,Food,2.23,piece
HomeEssentials Dog Food,Pet Supplies,3.67,kg
GreenChoice Coke,Beverages,2.77,bottle
GoodFarm Lentils,Food,2.71,kg
HomeEssentials Pet Shampoo,Pet Supplies,3.82,kg
BrandB Croissant,Bakery,2.33,piece
BrandA Deodorant,Personal Care,1.74,piece
NaturePlus Diesel,Transport,4.57,km
DailyCare Tea,Beverages,2.53,bottle
DailyCare Mango,Fruits,0.94,piece
BrandC T-shirt,Clothing,16.65,piece
DailyCare Soap,Personal Care,1.13,piece
GoodFarm Butter,Dairy,6.98,liter
GreenChoice Phone,Electronics,194.33,piece
NaturePlus Tea,Beverages,2.24,liter
BrandC Tomato,Vegetables,0.87,piece
HomeEssentials Water,Beverages,2.6,liter
HomeEssentials Spinach,Vegetables,0.3,kg
BrandC Grapes,Fruits,0.92,kg
NaturePlus Tomato,Vegetables,0.44,kg
GoodFarm Marker,Stationery,0.67,piece
NaturePlus Bagel,Bakery,1.96,piece
BrandA Mango,Fruits,1.48,piece
DailyCare Tomato,Vegetables,0.17,kg
EcoLife Croissant,Bakery,0.48,piece
BrandB Beans,Food,2.78,kg
EcoLife Mattress,Household,43.17,piece
DailyCare Pet Shampoo,Pet Supplies,1.07,piece
BrandA Laptop,Electronics,117.47,piece
GoodFarm Soap,Personal Care,2.78,piece
BrandA Croissant,Bakery,1.76,piece
BrandC Deodorant,Personal Care,2.36,piece
DailyCare Croissant,Bakery,2.46,piece
NaturePlus Banana,Fruits,1.19,kg
HomeEssentials Pillow,Household,9.18,piece
HomeEssentials Detergent,Cleaning,9.82,liter
BrandB Notebook,Stationery,2.62,piece
NaturePlus Lamb,Meat,8.72,kg
NaturePlus Soap,Personal Care,2.61,piece
GoodFarm Cat Food,Pet Supplies,7.53,piece
BrandC Cheese,Dairy,0.55,kg
DailyCare Floor Cleaner,Cleaning,4.43,liter
EcoLife Lentils,Food,1.22,piece
BrandA Rice,Food,3.5,piece
HomeEssentials Turkey,Meat,28.0,kg
NaturePlus Mattress,Household,40.14,piece
BrandC Floor Cleaner,Cleaning,4.41,piece
BrandA Turkey,Meat,10.76,kg
EcoLife Beef,Meat,13.52,kg
GoodFarm Muffin,Bakery,2.05,piece
GreenChoice Orange,Fruits,1.46,kg
GoodFarm Phone,Electronics,131.51,piece
HomeEssentials Pen,Stationery,1.47,piece
NaturePlus Cat Food,Pet Supplies,2.19,kg
BrandB Tablet,Electronics,31.97,piece
HomeEssentials Pet Toy,Pet Supplies,7.77,piece
GreenChoice Rice,Food,1.9,piece
GreenChoice Croissant,Bakery,3.34,piece
BrandB Muffin,Bakery,0.66,kg
GoodFarm Pet Toy,Pet Supplies,2.46,piece
BrandB Water,Beverages,2.31,liter
NaturePlus Pen,Stationery,4.81,piece
BrandC Pasta,Food,0.85,kg
BrandC Muffin,Bakery,2.83,kg
GreenChoice Bus Ticket,Transport,0.98,liter
GoodFarm Water,Beverages,1.73,bottle
BrandA Pet Toy,Pet Supplies,8.85,kg
DailyCare Bagel,Bakery,3.89,kg
BrandB Tomato,Vegetables,1.43,kg
BrandB Pen,Stationery,2.93,piece
GoodFarm Oats,Food,2.62,piece
DailyCare Shampoo,Personal Care,2.82,piece
EcoLife Muffin,Bakery,3.51,piece
NaturePlus Bread,Bakery,2.25,piece
BrandC Lamb,Meat,13.93,kg
GreenChoice Nuts,Food,0.33,kg
BrandC Mattress,Household,47.48,piece
EcoLife Tomato,Vegetables,1.96,piece
HomeEssentials Cheese,Dairy,0.64,kg
BrandA Lentils,Food,2.58,pack
GreenChoice Croissant,Bakery,3.45,piece
GoodFarm Orange,Fruits,0.25,kg
NaturePlus Jeans,Clothing,7.06,piece
GoodFarm TV,Electronics,50.32,piece
BrandB Petrol,Transport,0.83,liter
HomeEssentials Coffee,Beverages,1.51,liter
NaturePlus Chicken,Meat,25.41,kg
HomeEssentials Pet Shampoo,Pet Supplies,7.97,piece
EcoLife Potato,Vegetables,0.75,piece
DailyCare Turkey,Meat,6.94,kg
EcoLife Oats,Food,3.03,kg
GreenChoice Lamb,Meat,25.17,kg
NaturePlus Diesel,Transport,3.49,liter
GoodFarm Butter,Dairy,2.44,liter
BrandB Onion,Vegetables,0.53,piece
BrandB Train Ticket,Transport,2.11,km
BrandB Beef,Meat,23.76,kg
BrandC Butter,Dairy,6.24,kg
BrandA Stapler,Stationery,1.44,piece
HomeEssentials Soap,Personal Care,2.66,piece
HomeEssentials Tea,Beverages,1.76,bottle
BrandC Muffin,Bakery,3.65,kg
BrandB Bread,Bakery,4.52,kg
HomeEssentials Tomato,Vegetables,1.49,piece
GoodFarm Soap,Personal Care,4.49,piece
NaturePlus Apple,Fruits,0.36,piece
DailyCare Phone,Electronics,105.57,piece
BrandC Lamb,Meat,25.82,kg
DailyCare Bus Ticket,Transport,4.83,km
GoodFarm Paper Pack,Stationery,1.92,piece
EcoLife Jeans,Clothing,15.47,piece
BrandB Yogurt,Dairy,3.11,kg
BrandA Potato,Vegetables,0.92,piece
GreenChoice Potato,Vegetables,1.94,piece
BrandC Floor Cleaner,Cleaning,13.86,piece
BrandA Cake,Bakery,1.72,piece
DailyCare Petrol,Transport,0.26,km
GreenChoice Tomato,Vegetables,1.6,kg
BrandB Dish Soap,Cleaning,6.71,kg
DailyCare Beef,Meat,7.42,kg
NaturePlus Butter,Dairy,9.31,liter
DailyCare Potato,Vegetables,1.94,piece
GoodFarm Toothpaste,Personal Care,0.61,piece
BrandC Turkey,Meat,29.58,kg
GoodFarm Turkey,Meat,8.95,kg
GoodFarm Phone,Electronics,191.59,piece
GoodFarm Lamp,Household,44.86,piece
NaturePlus Toothpaste,Personal Care,4.34,piece
BrandB Train Ticket,Transport,3.25,km
NaturePlus Train Ticket,Transport,4.81,liter
