item,category,co2_per_unit,unit
BrandC Bagel,Bakery,2.7,piece
BrandC Butter,Dairy,6.42,kg
EcoLife Yogurt,Dairy,0.63,liter
GoodFarm Grapes,Fruits,1.87,kg
EcoLife Yogurt,Dairy,7.64,kg
GoodFarm TV,Electronics,74.28,piece
BrandA Onion,Vegetables,0.19,kg
BrandC Turkey,Meat,13.29,kg
BrandA Tablet,Electronics,57.23,piece
EcoLife Tablet,Electronics,68.25,piece
EcoLife Water,Beverages,2.75,liter
GoodFarm Carrot,Vegetables,0.71,piece
EcoLife Soap,Personal Care,0.24,piece
GoodFarm Soap,Personal Care,3.51,piece
EcoLife Cream,Dairy,4.1,kg
BrandB Lentils,Food,0.28,pack
BrandA Muffin,Bakery,0.84,piece
NaturePlus T-shirt,Clothing,10.64,piece
EcoLife Laptop,Electronics,135.08,piece
BrandC Juice,Beverages,1.17,liter
NaturePlus Lentils,Food,2.8,kg
BrandC Muffin,Bakery,2.27,piece
BrandC Banana,Fruits,0.92,kg
EcoLife Croissant,Bakery,2.46,kg
NaturePlus Tea,Beverages,1.18,bottle
EcoLife Croissant,Bakery,4.03,kg
BrandB Milk,Dairy,4.01,kg
BrandC Yogurt,Dairy,5.58,kg
BrandA Tablet,Electronics,127.32,piece
NaturePlus Banana,Fruits,1.72,kg
NaturePlus Cheese,Dairy,7.14,kg
BrandB Mango,Fruits,1.44,kg
BrandA Onion,Vegetables,0.62,piece
BrandB Phone,Electronics,15.82,piece
BrandA Milk,Dairy,5.68,liter
BrandB Phone,Electronics,111.28,piece
NaturePlus Oats,Food,0.22,pack
BrandA T-shirt,Clothing,15.54,piece
GoodFarm Yogurt,Dairy,5.33,kg
BrandC Tomato,Vegetables,0.86,kg
EcoLife Croissant,Bakery,2.93,kg
GoodFarm Carrot,Vegetables,1.03,piece
NaturePlus Spinach,Vegetables,1.3,piece
EcoLife Onion,Vegetables,1.22,kg
BrandA Onion,Vegetables,1.6,kg
BrandB Bread,Bakery,3.83,kg
BrandC Coffee,Beverages,1.98,liter
GoodFarm Muffin,Bakery,1.29,piece
EcoLife Shampoo,Personal Care,3.34,piece
GoodFarm T-shirt,Clothing,15.04,piece
GoodFarm Phone,Electronics,167.53,piece
BrandA Soap,Personal Care,4.13,piece
NaturePlus Milk,Dairy,4.14,liter
BrandB Orange,Fruits,0.35,kg
GoodFarm Shampoo,Personal Care,2.0,piece
EcoLife Phone,Electronics,176.1,piece
BrandB Bread,Bakery,0.61,piece
NaturePlus Banana,Fruits,0.82,piece
EcoLife Carrot,Vegetables,1.89,piece
BrandA Laptop,Electronics,28.96,piece
BrandB Pork,Meat,29.66,kg
GoodFarm Headphones,Electronics,181.03,piece
EcoLife Tomato,Vegetables,0.22,piece
BrandA Coke,Beverages,1.08,liter
BrandC TV,Electronics,171.98,piece
BrandA Onion,Vegetables,1.46,kg
EcoLife Cheese,Dairy,5.97,liter
BrandB Jacket,Clothing,7.26,piece
BrandB T-shirt,Clothing,3.74,piece
BrandC Oats,Food,0.86,piece
NaturePlus Cake,Bakery,4.56,piece
BrandB Lentils,Food,3.44,kg
BrandB Muffin,Bakery,3.7,kg
BrandA Orange,Fruits,0.65,piece
BrandB Cheese,Dairy,3.78,kg
EcoLife T-shirt,Clothing,9.53,piece
BrandB Cream,Dairy,4.64,liter
GoodFarm Tomato,Vegetables,0.84,piece
NaturePlus Oats,Food,2.08,pack
NaturePlus Coffee,Beverages,2.41,bottle
BrandA TV,Electronics,140.91,piece
NaturePlus Lotion,Personal Care,3.41,piece
GoodFarm Tea,Beverages,1.81,bottle
NaturePlus Milk,Dairy,7.43,kg
BrandA Muffin,Bakery,2.7,kg
BrandB Bread,Bakery,1.73,kg
GoodFarm Shampoo,Personal Care,2.65,piece
BrandA Croissant,Bakery,4.29,piece
BrandB Croissant,Bakery,0.86,kg
GoodFarm Mango,Fruits,0.39,piece
BrandA Potato,Vegetables,1.89,kg
BrandC Tea,Beverages,0.77,liter
NaturePlus Muffin,Bakery,3.47,piece
GoodFarm TV,Electronics,31.11,piece
NaturePlus Laptop,Electronics,14.23,piece
GoodFarm Beans,Food,2.42,pack
EcoLife Banana,Fruits,0.25,kg
NaturePlus Deodorant,Personal Care,2.91,piece
BrandB Potato,Vegetables,0.21,piece
NaturePlus Coffee,Beverages,1.25,liter
EcoLife Lentils,Food,4.37,kg
BrandB Beans,Food,4.38,pack
EcoLife Orange,Fruits,1.91,kg
NaturePlus Onion,Vegetables,0.38,kg
EcoLife Tomato,Vegetables,0.22,kg
BrandC TV,Electronics,131.84,piece
BrandB Chicken,Meat,29.57,kg
BrandA Potato,Vegetables,1.13,piece
NaturePlus Bread,Bakery,2.22,kg
GoodFarm Turkey,Meat,30.0,kg
BrandA Tablet,Electronics,117.08,piece
EcoLife Rice,Food,0.66,kg
EcoLife Oats,Food,2.58,pack
BrandA Apple,Fruits,0.99,kg
GoodFarm Bread,Bakery,2.46,piece
BrandB Tea,Beverages,2.3,liter
BrandC Lotion,Personal Care,3.63,piece
GoodFarm Coffee,Beverages,0.68,liter
NaturePlus Yogurt,Dairy,3.2,liter
BrandA Laptop,Electronics,17.44,piece
NaturePlus Toothpaste,Personal Care,4.0,piece
BrandA Apple,Fruits,1.82,kg
EcoLife Lamb,Meat,27.85,kg
BrandC Bagel,Bakery,2.11,piece
BrandB Orange,Fruits,1.57,kg
EcoLife Lamb,Meat,28.55,kg
BrandB Headphones,Electronics,10.2,piece
NaturePlus Lentils,Food,4.13,piece
BrandB T-shirt,Clothing,15.6,piece
EcoLife Oats,Food,3.21,piece
EcoLife Shirt,Clothing,6.27,piece
EcoLife Mango,Fruits,1.23,piece
NaturePlus Oats,Food,0.57,piece
EcoLife Lamb,Meat,7.51,kg
BrandA Bread,Bakery,4.21,kg
BrandB Tablet,Electronics,61.04,piece
NaturePlus Juice,Beverages,1.62,liter
EcoLife Toothpaste,Personal Care,0.58,piece
NaturePlus Pork,Meat,26.41,kg
NaturePlus Headphones,Electronics,48.8,piece
BrandA Muffin,Bakery,2.28,piece
NaturePlus Cake,Bakery,2.68,piece
NaturePlus Milk,Dairy,6.47,kg
BrandB Water,Beverages,1.76,bottle
GoodFarm Sweater,Clothing,3.51,piece
NaturePlus Deodorant,Personal Care,1.11,piece
BrandA Tablet,Electronics,117.9,piece
BrandB Chicken,Meat,19.32,kg
BrandC Beef,Meat,26.15,kg
GoodFarm Rice,Food,0.95,piece
BrandC Pork,Meat,15.46,kg
NaturePlus Rice,Food,1.81,pack
BrandC Banana,Fruits,1.51,kg
BrandB TV,Electronics,111.55,piece
NaturePlus Apple,Fruits,0.14,kg
BrandA Lamb,Meat,24.54,kg
GoodFarm Yogurt,Dairy,4.23,kg
EcoLife Banana,Fruits,0.83,kg
GoodFarm Water,Beverages,0.81,bottle
BrandC Water,Beverages,0.39,liter
NaturePlus Potato,Vegetables,0.06,kg
BrandC Yogurt,Dairy,9.91,liter
GoodFarm Yogurt,Dairy,5.55,liter
EcoLife Sweater,Clothing,15.56,piece
BrandA Milk,Dairy,5.46,liter
BrandA Cream,Dairy,3.67,kg
BrandA Turkey,Meat,28.43,kg
BrandA Potato,Vegetables,1.45,kg
BrandB Phone,Electronics,81.28,piece
BrandB Jeans,Clothing,6.94,piece
BrandC Yogurt,Dairy,9.6,liter
GoodFarm Yogurt,Dairy,8.79,liter
BrandB Yogurt,Dairy,4.84,liter
EcoLife Spinach,Vegetables,0.62,kg
GoodFarm Beef,Meat,12.28,kg
NaturePlus Banana,Fruits,1.51,kg
BrandC Beef,Meat,22.45,kg
BrandB Lentils,Food,1.81,pack
EcoLife Croissant,Bakery,3.01,kg
BrandB Shampoo,Personal Care,4.23,piece
BrandA Headphones,Electronics,15.14,piece
BrandB Tea,Beverages,2.89,liter
NaturePlus Bread,Bakery,0.55,kg
BrandA Bread,Bakery,3.63,kg
GoodFarm Jeans,Clothing,10.9,piece
BrandB Cake,Bakery,0.54,piece
NaturePlus Water,Beverages,1.13,liter
EcoLife Headphones,Electronics,38.88,piece
BrandA Oats,Food,0.77,kg
NaturePlus Yogurt,Dairy,0.62,liter
NaturePlus Bagel,Bakery,0.54,kg
BrandC Phone,Electronics,44.52,piece
BrandA Cheese,Dairy,4.13,liter
NaturePlus Shampoo,Personal Care,1.53,piece
BrandC Bagel,Bakery,0.62,piece
BrandC Cream,Dairy,3.49,kg
BrandA T-shirt,Clothing,13.46,piece
NaturePlus Butter,Dairy,8.88,liter
BrandB Coke,Beverages,1.01,liter
EcoLife Phone,Electronics,82.06,piece
NaturePlus Pasta,Food,4.17,pack
EcoLife Tablet,Electronics,46.87,piece
BrandA Phone,Electronics,85.9,piece
BrandC Phone,Electronics,91.36,piece
GoodFarm Deodorant,Personal Care,3.53,piece
GoodFarm Beef,Meat,28.64,kg
GoodFarm Jacket,Clothing,14.39,piece
BrandA Yogurt,Dairy,8.39,liter
BrandC Juice,Beverages,1.56,bottle
BrandA Pork,Meat,21.51,kg
BrandB Toothpaste,Personal Care,1.92,piece
BrandC Oats,Food,1.22,kg
GoodFarm Sweater,Clothing,10.64,piece
NaturePlus Tea,Beverages,2.14,liter
GoodFarm Banana,Fruits,0.51,piece
EcoLife TV,Electronics,132.3,piece
BrandA Pork,Meat,20.73,kg
GoodFarm Oats,Food,1.96,kg
BrandC Lotion,Personal Care,3.99,piece
EcoLife Bread,Bakery,0.36,kg
BrandC Laptop,Electronics,135.95,piece
BrandB Bagel,Bakery,2.31,piece
EcoLife Sweater,Clothing,8.23,piece
BrandC Soap,Personal Care,2.71,piece
BrandB Bagel,Bakery,3.77,piece
BrandA Laptop,Electronics,178.21,piece
NaturePlus Yogurt,Dairy,5.77,liter
GoodFarm Tea,Beverages,0.73,liter
EcoLife Onion,Vegetables,1.76,kg
GoodFarm Tea,Beverages,1.5,liter
BrandC Turkey,Meat,25.4,kg
GoodFarm Onion,Vegetables,0.99,kg
EcoLife Cake,Bakery,4.39,piece
NaturePlus Phone,Electronics,64.23,piece
GoodFarm Water,Beverages,1.83,bottle
BrandC T-shirt,Clothing,13.91,piece
GoodFarm Croissant,Bakery,4.79,kg
NaturePlus Butter,Dairy,6.32,liter
EcoLife Headphones,Electronics,49.63,piece
BrandA Oats,Food,2.29,kg
EcoLife Laptop,Electronics,63.2,piece
BrandB Yogurt,Dairy,3.2,liter
BrandC T-shirt,Clothing,13.34,piece
GoodFarm Phone,Electronics,135.08,piece
NaturePlus Orange,Fruits,1.58,kg
EcoLife Turkey,Meat,23.22,kg
NaturePlus Cream,Dairy,4.86,kg
EcoLife Muffin,Bakery,3.6,piece
BrandA Tablet,Electronics,102.78,piece
NaturePlus T-shirt,Clothing,12.75,piece
GoodFarm Rice,Food,2.5,piece
NaturePlus Onion,Vegetables,0.33,piece
GoodFarm Bread,Bakery,1.42,piece
BrandC Apple,Fruits,1.26,kg
GoodFarm Onion,Vegetables,1.69,kg
GoodFarm Shampoo,Personal Care,4.0,piece
NaturePlus Bread,Bakery,4.01,piece
NaturePlus T-shirt,Clothing,16.91,piece
BrandA Pork,Meat,7.01,kg
BrandB Beef,Meat,14.78,kg
BrandB Oats,Food,2.48,piece
NaturePlus Coffee,Beverages,1.94,liter
BrandB Jeans,Clothing,16.06,piece
BrandC Bagel,Bakery,1.95,piece
EcoLife Lentils,Food,3.42,piece
NaturePlus Coke,Beverages,1.36,liter
EcoLife Tea,Beverages,1.03,liter
BrandB Muffin,Bakery,2.33,kg
EcoLife Pork,Meat,12.4,kg
GoodFarm Pasta,Food,3.38,pack
BrandC Oats,Food,2.64,pack
BrandB Deodorant,Personal Care,0.18,piece
GoodFarm Bread,Bakery,3.33,kg
BrandC Mango,Fruits,1.97,piece
BrandB Water,Beverages,1.32,bottle
BrandC Pasta,Food,1.43,pack
EcoLife Onion,Vegetables,0.07,kg
BrandB Lentils,Food,0.44,pack
GoodFarm Sweater,Clothing,2.43,piece
EcoLife Croissant,Bakery,4.11,kg
GoodFarm Beef,Meat,16.25,kg
BrandA Toothpaste,Personal Care,1.54,piece
BrandA TV,Electronics,103.31,piece
BrandA Tomato,Vegetables,0.51,piece
BrandB Apple,Fruits,1.89,piece
BrandA TV,Electronics,199.99,piece
GoodFarm Cake,Bakery,3.79,kg
BrandB Jeans,Clothing,13.84,piece
BrandA Milk,Dairy,7.25,kg
NaturePlus Carrot,Vegetables,0.21,kg
GoodFarm Carrot,Vegetables,0.12,piece
GoodFarm Banana,Fruits,1.92,kg
BrandB Onion,Vegetables,1.51,piece
BrandB Orange,Fruits,0.57,piece
BrandA TV,Electronics,45.48,piece
BrandB Laptop,Electronics,48.8,piece
BrandB Headphones,Electronics,188.83,piece
BrandC Tea,Beverages,1.5,bottle
BrandA Beans,Food,1.51,pack
BrandB Spinach,Vegetables,1.17,kg
BrandA Spinach,Vegetables,0.26,piece
BrandC Tea,Beverages,0.52,bottle
BrandC TV,Electronics,90.17,piece
NaturePlus Grapes,Fruits,0.13,piece
GoodFarm Orange,Fruits,0.85,piece
BrandB Beans,Food,3.0,pack
NaturePlus Sweater,Clothing,12.44,piece
GoodFarm Oats,Food,2.23,kg
BrandA Apple,Fruits,0.94,kg
BrandC Yogurt,Dairy,9.13,kg
GoodFarm Water,Beverages,1.97,liter
GoodFarm Lentils,Food,1.39,pack
GoodFarm Tomato,Vegetables,0.05,kg
BrandA Juice,Beverages,2.44,bottle
BrandB Banana,Fruits,1.72,piece
EcoLife Pasta,Food,0.17,kg
BrandB Lamb,Meat,19.38,kg
GoodFarm Shirt,Clothing,10.6,piece
BrandA Lotion,Personal Care,2.69,piece
GoodFarm Pork,Meat,14.64,kg
GoodFarm Sweater,Clothing,14.18,piece
GoodFarm TV,Electronics,165.46,piece
BrandB Spinach,Vegetables,0.69,piece
BrandA Lentils,Food,4.98,kg
BrandC Jeans,Clothing,5.08,piece
NaturePlus Lentils,Food,3.54,piece
EcoLife Apple,Fruits,0.29,piece
BrandC Apple,Fruits,1.93,piece
BrandB Headphones,Electronics,159.78,piece
EcoLife Water,Beverages,0.96,bottle
NaturePlus Lotion,Personal Care,4.49,piece
BrandC Croissant,Bakery,1.54,kg
GoodFarm Apple,Fruits,1.56,piece
EcoLife Toothpaste,Personal Care,3.66,piece
BrandA Bagel,Bakery,3.28,kg
BrandC Juice,Beverages,0.4,bottle
EcoLife Turkey,Meat,12.59,kg
NaturePlus Grapes,Fruits,0.98,kg
BrandB Coffee,Beverages,2.48,liter
BrandA Pasta,Food,0.96,kg
NaturePlus Muffin,Bakery,3.35,kg
BrandC Lentils,Food,3.86,piece
NaturePlus Soap,Personal Care,3.8,piece
BrandC Rice,Food,0.58,pack
BrandB Onion,Vegetables,0.63,kg
GoodFarm Rice,Food,1.68,pack
EcoLife Cheese,Dairy,1.28,kg
EcoLife Shirt,Clothing,17.77,piece
NaturePlus Cake,Bakery,3.96,kg
BrandA Milk,Dairy,0.7,liter
GoodFarm Lotion,Personal Care,4.03,piece
BrandC Tomato,Vegetables,1.99,kg
BrandB Soap,Personal Care,0.6,piece
BrandA Orange,Fruits,0.52,piece
BrandB Juice,Beverages,2.13,liter
BrandA Carrot,Vegetables,1.33,piece
EcoLife Shampoo,Personal Care,3.26,piece
GoodFarm Tablet,Electronics,99.79,piece
BrandC Water,Beverages,1.21,bottle
BrandC Deodorant,Personal Care,3.07,piece
EcoLife Jacket,Clothing,12.7,piece
BrandA Cake,Bakery,2.95,kg
GoodFarm Coffee,Beverages,1.26,bottle
GoodFarm Lamb,Meat,11.96,kg
BrandB Coffee,Beverages,2.05,bottle
BrandB Tomato,Vegetables,1.69,kg
EcoLife T-shirt,Clothing,19.12,piece
BrandA Toothpaste,Personal Care,3.92,piece
GoodFarm Chicken,Meat,24.89,kg
NaturePlus Shampoo,Personal Care,4.36,piece
NaturePlus Milk,Dairy,3.51,liter
BrandC Phone,Electronics,199.88,piece
NaturePlus Cream,Dairy,6.46,liter
BrandB Laptop,Electronics,124.09,piece
NaturePlus Bagel,Bakery,0.93,piece
EcoLife Shirt,Clothing,9.72,piece
BrandB Pork,Meat,6.09,kg
GoodFarm Juice,Beverages,0.79,liter
BrandC Pork,Meat,10.45,kg
BrandA Jacket,Clothing,16.3,piece
BrandB Croissant,Bakery,2.72,kg
NaturePlus T-shirt,Clothing,13.63,piece
EcoLife Shampoo,Personal Care,2.39,piece
BrandC Beans,Food,2.38,piece
BrandA Croissant,Bakery,2.78,piece
BrandA Cake,Bakery,0.8,piece
BrandA Mango,Fruits,1.08,kg
NaturePlus Juice,Beverages,2.92,liter
BrandA Grapes,Fruits,0.57,kg
NaturePlus Cheese,Dairy,2.01,liter
EcoLife Tea,Beverages,2.97,liter
BrandB Bagel,Bakery,4.67,kg
EcoLife Onion,Vegetables,0.93,kg
BrandC Turkey,Meat,21.82,kg
NaturePlus Oats,Food,2.07,kg
NaturePlus Bagel,Bakery,1.65,kg
BrandA Onion,Vegetables,0.24,kg
BrandB Grapes,Fruits,0.5,piece
EcoLife Pork,Meat,27.47,kg
BrandC Yogurt,Dairy,9.8,liter
BrandB Soap,Personal Care,4.79,piece
GoodFarm Croissant,Bakery,3.82,kg
NaturePlus Cheese,Dairy,0.63,kg
BrandA Beans,Food,3.31,kg
NaturePlus Tablet,Electronics,123.8,piece
NaturePlus Bagel,Bakery,0.71,piece
GoodFarm Shampoo,Personal Care,4.39,piece
BrandC Oats,Food,3.57,piece
BrandC Croissant,Bakery,4.39,piece
BrandB Water,Beverages,1.64,liter
EcoLife Cheese,Dairy,6.19,kg
BrandC Grapes,Fruits,1.63,kg
BrandC Lamb,Meat,12.38,kg
EcoLife Lamb,Meat,19.17,kg
BrandC Jeans,Clothing,4.87,piece
NaturePlus T-shirt,Clothing,8.0,piece
BrandC Water,Beverages,1.97,liter
NaturePlus Soap,Personal Care,0.48,piece
BrandB Soap,Personal Care,2.55,piece
EcoLife T-shirt,Clothing,11.98,piece
GoodFarm Lamb,Meat,20.19,kg
BrandB Bread,Bakery,4.22,piece
BrandB Rice,Food,3.89,pack
BrandB Tablet,Electronics,125.81,piece
BrandC Tablet,Electronics,142.91,piece
BrandC Muffin,Bakery,0.94,kg
EcoLife Croissant,Bakery,2.71,piece
NaturePlus Coffee,Beverages,0.59,bottle
BrandC Mango,Fruits,0.96,kg
BrandC Lentils,Food,1.69,pack
EcoLife Tablet,Electronics,165.64,piece
BrandA Bread,Bakery,0.36,kg
GoodFarm Carrot,Vegetables,1.72,piece
BrandB Orange,Fruits,1.11,kg
BrandA Tea,Beverages,2.45,liter
GoodFarm Grapes,Fruits,1.6,kg
BrandB Butter,Dairy,3.24,liter
NaturePlus Cheese,Dairy,5.1,liter
BrandA Pasta,Food,2.22,pack
BrandB Coffee,Beverages,1.51,bottle
BrandB Lamb,Meat,25.49,kg
BrandB Lamb,Meat,15.13,kg
BrandC Butter,Dairy,1.22,kg
GoodFarm Sweater,Clothing,10.31,piece
NaturePlus Mango,Fruits,1.13,kg
GoodFarm Spinach,Vegetables,0.2,piece
NaturePlus Tomato,Vegetables,1.17,kg
NaturePlus Potato,Vegetables,0.55,piece
BrandC Potato,Vegetables,1.07,kg
BrandB Bagel,Bakery,3.74,kg
EcoLife Spinach,Vegetables,1.29,kg
EcoLife Spinach,Vegetables,0.6,piece
NaturePlus Croissant,Bakery,0.45,kg
GoodFarm Cake,Bakery,1.68,kg
BrandC Bagel,Bakery,3.9,kg
GoodFarm Yogurt,Dairy,2.34,liter
BrandA Tea,Beverages,0.59,bottle
GoodFarm Jeans,Clothing,6.06,piece
GoodFarm Jeans,Clothing,11.84,piece
BrandB Milk,Dairy,3.05,liter
EcoLife Coffee,Beverages,2.08,bottle
EcoLife Jeans,Clothing,17.54,piece
BrandA Grapes,Fruits,0.98,piece
BrandA Mango,Fruits,1.08,piece
GoodFarm Beef,Meat,15.42,kg
BrandB Butter,Dairy,0.85,liter
NaturePlus TV,Electronics,117.57,piece
NaturePlus Bagel,Bakery,0.55,piece
NaturePlus Orange,Fruits,0.3,kg
NaturePlus Spinach,Vegetables,0.74,piece
NaturePlus TV,Electronics,156.09,piece
BrandA T-shirt,Clothing,18.31,piece
NaturePlus Butter,Dairy,1.87,liter
NaturePlus Laptop,Electronics,50.7,piece
BrandB Turkey,Meat,18.76,kg
EcoLife Pasta,Food,3.07,kg
BrandA Yogurt,Dairy,6.89,liter
EcoLife Grapes,Fruits,1.09,piece
EcoLife Jacket,Clothing,13.63,piece
BrandB Coke,Beverages,1.15,liter
NaturePlus Croissant,Bakery,1.38,kg
BrandC Grapes,Fruits,0.35,kg
BrandC Pork,Meat,12.01,kg
BrandC Bagel,Bakery,0.79,kg
BrandA Shampoo,Personal Care,4.33,piece
EcoLife Oats,Food,4.14,kg
BrandB Tea,Beverages,0.52,liter
NaturePlus Phone,Electronics,34.23,piece
BrandA Beef,Meat,7.17,kg
BrandB Chicken,Meat,10.28,kg
EcoLife TV,Electronics,174.48,piece
NaturePlus Phone,Electronics,52.75,piece
EcoLife Apple,Fruits,0.63,kg
EcoLife Cheese,Dairy,8.92,liter
EcoLife Turkey,Meat,16.31,kg
BrandA Tablet,Electronics,91.95,piece
EcoLife Orange,Fruits,0.11,piece
BrandB TV,Electronics,79.29,piece
NaturePlus Shampoo,Personal Care,1.6,piece
BrandA Cake,Bakery,4.68,kg
BrandB Beans,Food,2.66,kg
BrandA Soap,Personal Care,1.19,piece
NaturePlus Beans,Food,0.83,kg
NaturePlus Tea,Beverages,1.79,bottle
BrandC Deodorant,Personal Care,4.75,piece
BrandA Banana,Fruits,1.85,piece
BrandA Sweater,Clothing,6.76,piece
GoodFarm Mango,Fruits,1.11,piece
BrandC Yogurt,Dairy,9.6,liter
GoodFarm Toothpaste,Personal Care,4.75,piece
NaturePlus Laptop,Electronics,32.32,piece
GoodFarm Muffin,Bakery,2.38,piece
BrandA Beans,Food,1.77,pack
BrandB Coke,Beverages,2.49,liter
NaturePlus Water,Beverages,2.75,liter
BrandC Cake,Bakery,1.7,kg
GoodFarm Lamb,Meat,22.81,kg
BrandC Croissant,Bakery,3.36,kg
BrandB TV,Electronics,189.68,piece
BrandC Banana,Fruits,1.59,piece
NaturePlus Headphones,Electronics,184.81,piece
BrandA Tablet,Electronics,103.91,piece
EcoLife Jacket,Clothing,14.66,piece
BrandA Bagel,Bakery,0.59,piece
NaturePlus Banana,Fruits,0.89,kg
BrandA Shirt,Clothing,15.52,piece
EcoLife Bagel,Bakery,0.83,kg
BrandB Chicken,Meat,26.59,kg
BrandA Orange,Fruits,0.52,kg
NaturePlus Lamb,Meat,17.52,kg
BrandC Sweater,Clothing,17.83,piece
BrandB Laptop,Electronics,179.24,piece
GoodFarm Lamb,Meat,5.94,kg
BrandB Tea,Beverages,0.62,liter
GoodFarm Water,Beverages,1.15,bottle
BrandA Toothpaste,Personal Care,1.32,piece
BrandB Cheese,Dairy,5.84,kg
BrandB Lotion,Personal Care,3.68,piece
EcoLife Cream,Dairy,6.74,liter
BrandC Croissant,Bakery,4.42,piece
BrandB Water,Beverages,0.56,liter
NaturePlus Toothpaste,Personal Care,3.0,piece
NaturePlus Shampoo,Personal Care,3.04,piece
NaturePlus Pork,Meat,27.29,kg
GoodFarm Cream,Dairy,6.63,kg
GoodFarm Water,Beverages,1.61,liter
BrandA Grapes,Fruits,1.66,kg
NaturePlus Bread,Bakery,1.67,piece
NaturePlus Toothpaste,Personal Care,1.21,piece
BrandA Mango,Fruits,0.35,piece
EcoLife Oats,Food,2.78,piece
BrandA Orange,Fruits,0.18,kg
BrandB Grapes,Fruits,0.8,kg
NaturePlus Tablet,Electronics,130.5,piece
NaturePlus Shampoo,Personal Care,2.05,piece
BrandB Yogurt,Dairy,2.79,kg
BrandA Banana,Fruits,0.96,kg
NaturePlus Yogurt,Dairy,6.4,kg
BrandB Beans,Food,0.17,pack
GoodFarm TV,Electronics,138.55,piece
GoodFarm Tablet,Electronics,101.76,piece
BrandB Potato,Vegetables,1.34,kg
EcoLife Onion,Vegetables,0.92,piece
BrandB Deodorant,Personal Care,4.58,piece
NaturePlus Laptop,Electronics,145.21,piece
BrandB Coke,Beverages,2.99,liter
BrandB Sweater,Clothing,9.73,piece
NaturePlus Lentils,Food,4.13,pack
BrandC Banana,Fruits,0.48,piece
BrandA Jacket,Clothing,10.73,piece
EcoLife Tablet,Electronics,87.64,piece
BrandB Beef,Meat,12.83,kg
BrandC Potato,Vegetables,1.92,kg
BrandA Bread,Bakery,3.84,piece
BrandA Phone,Electronics,44.12,piece
NaturePlus Lentils,Food,0.86,kg
EcoLife Water,Beverages,2.39,liter
GoodFarm Beans,Food,3.83,kg
BrandC Pasta,Food,4.31,piece
EcoLife Shampoo,Personal Care,3.65,piece
BrandA Coffee,Beverages,2.35,liter
EcoLife Bagel,Bakery,3.49,kg
BrandB Coffee,Beverages,0.64,bottle
BrandB Sweater,Clothing,12.43,piece
GoodFarm Tea,Beverages,2.67,liter
EcoLife Bread,Bakery,2.36,piece
BrandC Banana,Fruits,1.07,piece
GoodFarm TV,Electronics,62.32,piece
NaturePlus Lentils,Food,3.57,pack
GoodFarm Soap,Personal Care,0.53,piece
GoodFarm Croissant,Bakery,4.57,kg
BrandA Cream,Dairy,7.79,kg
BrandB Potato,Vegetables,1.94,kg
GoodFarm Cheese,Dairy,6.07,liter
BrandA Croissant,Bakery,3.08,piece
BrandA Apple,Fruits,1.81,kg
BrandA Lamb,Meat,24.31,kg
BrandB Beef,Meat,20.07,kg
GoodFarm Turkey,Meat,11.89,kg
GoodFarm Water,Beverages,2.4,liter
BrandB Mango,Fruits,0.69,kg
EcoLife Water,Beverages,0.86,liter
EcoLife Pasta,Food,0.75,pack
BrandA Cream,Dairy,6.51,liter
EcoLife Beans,Food,0.47,pack
BrandB Laptop,Electronics,53.63,piece
GoodFarm Mango,Fruits,1.05,piece
BrandC T-shirt,Clothing,14.53,piece
NaturePlus Bagel,Bakery,3.25,piece
GoodFarm Pork,Meat,14.25,kg
BrandB TV,Electronics,46.9,piece
EcoLife Cheese,Dairy,1.46,liter
NaturePlus TV,Electronics,179.71,piece
BrandC Banana,Fruits,1.67,piece
BrandC Soap,Personal Care,4.94,piece
NaturePlus Beef,Meat,5.47,kg
EcoLife Chicken,Meat,16.61,kg
EcoLife Lentils,Food,4.64,pack
GoodFarm Soap,Personal Care,3.59,piece
BrandA Butter,Dairy,2.8,liter
BrandB Lotion,Personal Care,4.49,piece
BrandB Bagel,Bakery,3.88,kg
EcoLife Spinach,Vegetables,1.46,piece
BrandC Muffin,Bakery,3.19,kg
GoodFarm Spinach,Vegetables,1.44,piece
EcoLife Lamb,Meat,10.91,kg
BrandC Lotion,Personal Care,4.53,piece
BrandA Pasta,Food,2.13,piece
GoodFarm Tea,Beverages,2.9,bottle
BrandA Bread,Bakery,0.99,piece
NaturePlus Milk,Dairy,0.61,liter
BrandB Jeans,Clothing,8.27,piece
BrandB Shirt,Clothing,8.97,piece
BrandB Jeans,Clothing,5.5,piece
BrandC Oats,Food,3.16,piece
GoodFarm Beef,Meat,10.63,kg
GoodFarm Rice,Food,3.96,kg
BrandB Lotion,Personal Care,0.65,piece
BrandC Phone,Electronics,90.62,piece
GoodFarm Bagel,Bakery,3.79,piece
EcoLife Juice,Beverages,2.66,liter
BrandA Tea,Beverages,0.65,bottle
BrandC Laptop,Electronics,178.33,piece
EcoLife Croissant,Bakery,1.86,kg
NaturePlus Beans,Food,1.22,pack
BrandB Banana,Fruits,0.52,kg
BrandA Milk,Dairy,9.76,liter
BrandA Toothpaste,Personal Care,2.64,piece
NaturePlus Carrot,Vegetables,1.12,kg
BrandA Muffin,Bakery,2.28,kg
GoodFarm Shirt,Clothing,7.19,piece
BrandA Lotion,Personal Care,1.7,piece
BrandA Yogurt,Dairy,2.08,liter
NaturePlus Headphones,Electronics,77.92,piece
